    2016v3 --> 164408000 events
      2017 --> 101520000 events
      2018 --> 93446000 events
    2016v2 --> 89743000 events

recommended       type    mass         V2    ctau (mm)  ctauRatioToTheory   events                cross section  miniAOD directory
          *      dirac     5.0      1e-06     295.1300               1.01   200000       2.327e-03 +- 1.009e-06     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-5_V-0.001_mu_Dirac_massiveAndCKM_LO
          *      dirac     5.0      1e-06     295.1300               1.01   194000       2.329e-03 +- 1.011e-06   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-5_V-0.001_mu_Dirac_massiveAndCKM_LO
          *      dirac    10.0    1.2e-06       6.8856               0.94   250000       2.764e-03 +- 1.206e-06     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-10_V-0.00107238052948_e_Dirac_massiveAndCKM_LO
          *      dirac    10.0    1.2e-06       6.8856               0.94   250000       2.761e-03 +- 1.222e-06     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-10_V-0.00107238052948_e_Dirac_massiveAndCKM_LO
          *      dirac    10.0    1.2e-06       6.8856               0.94   250000       2.771e-03 +- 1.209e-06   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-10_V-0.00107238052948_e_Dirac_massiveAndCKM_LO
          *      dirac    10.0    1.2e-06       6.8889               0.99   250000       2.761e-03 +- 1.201e-06     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-10_V-0.00107238052948_mu_Dirac_massiveAndCKM_LO
          *      dirac    10.0    1.2e-06       6.8889               0.99   250000       2.757e-03 +- 1.203e-06     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-10_V-0.00107238052948_mu_Dirac_massiveAndCKM_LO
          *      dirac    10.0    1.2e-06       6.8889               0.99   250000       2.757e-03 +- 1.203e-06   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-10_V-0.00107238052948_mu_Dirac_massiveAndCKM_LO
          *      dirac    10.0    2.3e-06       4.0372               0.79   250000       5.561e-03 +- 2.424e-06     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-10_V-0.00152_tau_Dirac_massiveAndCKM_LO
          *      dirac    10.0    2.3e-06       4.0372               0.79    30000       5.557e-03 +- 2.463e-06     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-10_V-0.00152_tau_Dirac_massiveAndCKM_LO_tauLeptonic
          *      dirac    10.0    2.3e-06       4.0372               0.79   250000       5.558e-03 +- 2.418e-06     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-10_V-0.00152_tau_Dirac_massiveAndCKM_LO
          *      dirac    10.0    2.3e-06       4.0372               0.79    39000       5.554e-03 +- 2.424e-06     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-10_V-0.00152_tau_Dirac_massiveAndCKM_LO_tauLeptonic
          *      dirac    10.0    2.3e-06       4.0372               0.79   999000       5.579e-03 +- 2.455e-06   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-10_V-0.00152_tau_Dirac_massiveAndCKM_LO
          *      dirac    10.0    2.3e-06       4.0372               0.79   113000       5.559e-03 +- 2.444e-06   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-10_V-0.00152_tau_Dirac_massiveAndCKM_LO_tauLeptonic
          *      dirac     5.0    4.2e-06      69.5752               0.97   250000       9.818e-03 +- 4.312e-06     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-5_V-0.00205669638012_e_Dirac_massiveAndCKM_LO
          *      dirac     5.0    4.2e-06      69.5752               0.97   250000       9.812e-03 +- 4.354e-06     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-5_V-0.00205669638012_e_Dirac_massiveAndCKM_LO
          *      dirac     5.0    4.2e-06      69.5752               0.97   250000       9.823e-03 +- 4.244e-06   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-5_V-0.00205669638012_e_Dirac_massiveAndCKM_LO
          *      dirac     5.0    4.2e-06      69.7706               1.01   250000       9.836e-03 +- 4.290e-06     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-5_V-0.00205669638012_mu_Dirac_massiveAndCKM_LO
          *      dirac     5.0    4.2e-06      69.7706               1.01   250000       9.837e-03 +- 4.290e-06     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-5_V-0.00205669638012_mu_Dirac_massiveAndCKM_LO
          *      dirac     5.0    4.2e-06      69.7706               1.01   250000       9.847e-03 +- 4.257e-06   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-5_V-0.00205669638012_mu_Dirac_massiveAndCKM_LO
          *      dirac     8.0    4.6e-06       5.4525               0.94   250000       1.096e-02 +- 4.859e-06     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-8_V-0.00214242852856_e_Dirac_massiveAndCKM_LO
          *      dirac     8.0    4.6e-06       5.4525               0.94   250000       1.095e-02 +- 4.861e-06     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-8_V-0.00214242852856_e_Dirac_massiveAndCKM_LO
          *      dirac     8.0    4.6e-06       5.4525               0.94   250000       1.098e-02 +- 4.890e-06   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-8_V-0.00214242852856_e_Dirac_massiveAndCKM_LO
          *      dirac     8.0    4.6e-06       5.4596               0.98   250000       1.096e-02 +- 4.819e-06     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-8_V-0.00214242852856_mu_Dirac_massiveAndCKM_LO
          *      dirac     8.0    4.6e-06       5.4596               0.98   250000       1.097e-02 +- 4.828e-06     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-8_V-0.00214242852856_mu_Dirac_massiveAndCKM_LO
          *      dirac     8.0    4.6e-06       5.4596               0.98   250000       1.098e-02 +- 4.834e-06   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-8_V-0.00214242852856_mu_Dirac_massiveAndCKM_LO
          *      dirac     8.0      5e-06       5.0055               0.94   100000       1.195e-02 +- 5.250e-06     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-8_V-0.0022360679775_e_Dirac_massiveAndCKM_LO
          *      dirac     8.0      5e-06       5.0055               0.94   100000       1.200e-02 +- 5.108e-06     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-8_V-0.0022360679775_e_Dirac_massiveAndCKM_LO
          *      dirac     8.0      5e-06       5.0055               0.94   100000       1.194e-02 +- 5.322e-06   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-8_V-0.0022360679775_e_Dirac_massiveAndCKM_LO
          *      dirac     8.0      5e-06       5.0120               0.98   100000       1.193e-02 +- 5.259e-06     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-8_V-0.0022360679775_mu_Dirac_massiveAndCKM_LO
          *      dirac     8.0      5e-06       5.0120               0.98   100000       1.190e-02 +- 5.068e-06     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-8_V-0.0022360679775_mu_Dirac_massiveAndCKM_LO
          *      dirac     8.0      5e-06       5.0120               0.98   100000       1.193e-02 +- 5.244e-06   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-8_V-0.0022360679775_mu_Dirac_massiveAndCKM_LO
          *      dirac     7.0      5e-06      10.0207               0.94   100000       1.186e-02 +- 6.553e-06     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-7_V-0.0022361_e_Dirac_massiveAndCKM_LO
          *      dirac     7.0      5e-06      10.0207               0.94   100000       1.187e-02 +- 5.061e-06     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-7_V-0.0022361_e_Dirac_massiveAndCKM_LO
